title,publish_time,like_count,comment_count,media_name,source,abstract,article_url,tag,is_yaowen,article_sub_type
董宇辉读错“羽扇纶巾”，文化人设崩塌，再次应验了郭德纲的话,2024-08-27 03:45,4875,11480,峰哥正读,峰哥正读,可就在最近的一场直播中，一向以文化人自居的董宇辉却翻了个大车，一个毕业于一本院校的大文豪居然连高中学的字都能读错，实在是让人啼笑皆非。,https://toutiao.com/group/7407650727687979556/,,0,0
当你被盗号时，蛋仔的反应？太搞笑了！ #蛋仔派对世纪圆舞会,2024-06-27 08:45,4654,215,魔鬼鱼秀儿,魔鬼鱼秀儿,,https://toutiao.com/group/7385101460146487848/,,0,0
安徽省地震局启动地震应急服务响应,2024-09-13 23:05,328,190,大皖新闻,大皖新闻,大皖新闻讯 据中国地震台网正式测定，9月14日5时12分，安徽肥东（北纬31.99度，东经117.62度）发生3.9级地震，震源深度10公里。据初步了解，震中区梁园镇震感强烈，合肥市普遍有震感，滁州市、蚌埠市部分群众有震感，暂无人员伤亡和财产损失报告。,http://www.ahwang.cn/toutiao/202409/2744201.html,,0,1
比亚迪仰望U9在古德伍德汽车节展示独家功能！吸引众人围观拍照！,2024-09-11 09:17,9439,2336,自由自我的小曹,自由自我的小曹,,https://toutiao.com/group/7413312169233613327/,,0,0
2024年结婚找对象，有车有房已经过时了，现在流行“新三样”,2024-09-14 02:44,478,377,鑫月自媒体,鑫月自媒体,,https://toutiao.com/group/7414324073822192178/,,0,0
蛋仔派对：飞机规则怪谈？如果你误入诡异航班 ，请遵守以下规则,2024-07-04 08:36,3534,158,辉哥游戏解说,辉哥游戏解说,,https://toutiao.com/group/7387696668101050932/,,0,0
跳格子吃豆豆,2024-08-22 05:21,918,141,才才Cary,才才Cary,,https://toutiao.com/group/7405829609796665871/,,0,0
2023这才是战争片开山之作，震撼程度空前绝后，连看三遍，好电影,2024-08-31 08:00,2492,205,经典影视分享,经典影视分享,,https://toutiao.com/group/7408914145694712355/,,0,0
11年前小学生扶人被讹百万，老人发誓“骗人全家死绝”，结局怎样,2024-09-10 03:49,1681,755,玖号放映厅,玖号放映厅,面对小学生的热心扶人举动，这位老太当众发了一个“毒誓”。很快，老人儿子找到小学生的父母，要求其赔偿百万元，不然就要法庭上见。,https://toutiao.com/group/7412856331701977626/,,0,0
他是建国以来潜逃级别最高的贪官：至今仍未落网，逃跑方式成了谜,2024-08-27 03:17,907,382,小烤娱,小烤娱,这个名字可能对很多人来说很陌生，但他可是建国以来潜逃的级别最高的贪官。让我们一起来扒一扒这个让人唏嘘不已的传奇人物。,https://toutiao.com/group/7407641037365199411/,,0,0
巧合还是泄密？为何西方多次精准预判我国最新消息，真有内鬼？,2024-09-11 13:37,2538,1340,墨忆史谈,墨忆史谈,近年来，西方媒体似乎总能在我国官方公布重要政策和事件前，准确预报相关信息。这种“未卜先知”的能力，不禁让人心里不安。,https://toutiao.com/group/7413324640166232612/,,0,0
梅德韦杰夫：若乌用西方远程导弹攻击俄腹地 俄不排除摧毁基辅,2024-09-14 09:48,827,419,财联社,财联社,【梅德韦杰夫：若乌用西方远程导弹攻击俄腹地 俄不排除摧毁基辅】财联社9月14日电，俄罗斯联邦安全会议副主席梅德韦杰夫14日表示，如果乌克兰使用西方远程导弹攻击俄罗斯腹地，俄不排除使用除核武器外的新武器摧毁乌克兰首都基辅。梅德韦杰夫称，“没有人真正需要核冲突。,https://www.cls.cn/depth/1799903,,0,0
1996年，少将姬胜德用赃款给克林顿汇去30万美金，帮对方竞选总统,2024-09-06 10:48,2264,2055,文史旺旺,文史旺旺,这笔钱，正是姬胜德通过不法渠道获得的赃款，他打算用它来为正在紧张进行的美国总统竞选增添燃料，而接受这笔钱的，就是那时的候选人比尔·克林顿。,https://toutiao.com/group/7411479834901234217/,,0,0
去世不到一年，豪宅破败被挂售，人走茶凉就是对周海媚最好的诠释,2024-09-14 08:53,270,101,鹏遨游,鹏遨游,文|鹏遨游支持作者，写作不易，文中会有5s广告，观看后可免费阅读全文她曾经在《倚天屠龙记》中饰演“周芷若”。被大家称为是最经典的一版。各方面都收获了一致好评。可就是这样一位优秀的演员，最后不幸离世。自从周海媚走后，曾经的豪华住宅被挂出售卖。宠物被朋友收养，一切尽显悲凉。,https://toutiao.com/group/7414397239329243657/,,0,0
取消老年人免费坐车特权？专家给出2个建议，网友：举双手赞成,2024-08-25 12:03,1100,696,小李说娱乐,小李说娱乐,取消老年人免费坐车特权？专家给出2个建议，网友：举双手赞成,https://toutiao.com/group/7407046560556515891/,,0,0
看了越南上半年1.34万亿出口额，再看中国广东，差距实在太大了,2024-09-12 03:29,1873,899,沧海冒险家,沧海冒险家,今年上半年，越南携1.34万亿的贸易出口额，强势宣布经济复苏，其中加工制造业占比超过80%，广东作为我国加工制造业的龙头，贸易出口额又怎样呢?,https://toutiao.com/group/7413588103710966323/,,0,0
徐向前死后，其子向中央提出三点要求，中央：不同意！,2024-09-12 22:33,3548,137,甲子开卷,甲子开卷,徐向前去世后，他的儿子向中央提出了三点要求，并说这是父亲生前留下的最后遗言，要求中央必须满足，结果却遭到了中央的拒绝。,https://toutiao.com/group/7413558767374107162/,,0,0
属牛人：生肖牛，千万不要跟这个人有往来，因为这个人天生就克你,2024-07-08 09:50,656,191,乐天派菠萝LftSv,乐天派菠萝LftSv,『有福缘之人留下一句“好运连连” 从此万事如愿，所求皆得。』属牛人：生肖牛，千万不要跟这个人有往来，因为这个人天生就克你大家好，今天呢，我特别想跟属牛的小伙伴们唠唠，关于咱们属牛人在交友方面需要特别注意的一些事儿。,https://toutiao.com/group/7389199393053868583/,,0,0
“当唐僧说出这句台词的时候，西游记的讽刺艺术达到了巅峰!”,2024-09-03 12:41,13631,1525,莫实说,莫实说,“西游记阴谋不阴谋不知道，但是绝对够讽刺！”,https://toutiao.com/group/7410396083026657833/,,0,0
樱花校园模拟器：躲猫猫之躲避变异护士！ #解锁躲猫猫教学,2024-09-04 09:46,3522,1462,可爱的汉堡,可爱的汉堡,,https://toutiao.com/group/7410722193337745971/,,0,0
并不是迷信，无论房子有多大，开门切记不要正对这“6种”东西,2024-07-24 02:36,25597,1804,老耿来聊事,老耿来聊事,#长文创作激励计划#对于我国群众来说，骨子里有两大爱好，一是存钱，二就是买房了，房子对我们有着重要的意义，这不仅是一种资产的积累方式，也是家的象征。在买了房子之后，我们肯定会按照自己的喜好去进行一番装修，现在装修风格十分的多样化，但其实在这一方面是有诸多讲究的。,https://toutiao.com/group/7395024974186119680/,,0,0
中美俄卫星定位精度差距太大！美0.1米，俄1.5米，中国北斗是多少,2024-08-15 08:54,25851,4128,巴普罗的独白,巴普罗的独白,而卫星定位精度更是中美俄三大航天强国竞相追逐的目标，这一指标的高低直接决定了卫星技术的实用价值。美国以0.1米的惊人精度遥遥领先，俄罗斯则以1.5米的精度位居第二。,https://toutiao.com/group/7403279432997241407/,,0,0
中国巨贪之子出逃22年，摇身一变成外籍富商！还把女儿送入政坛？,2024-08-21 09:02,2563,190,诺斯罗普的笔记,诺斯罗普的笔记,程维高曾是中国政界叱咤风云的人物，曾担任了河北省委书记，最终却因贪污被查。牛马一枚，小编每天白天在公司写文章，下班之后还得天天加班到很晚，即便这样每天收益才有50多块，文中加入5秒广告解锁，就是为了能多有几块钱，希望各位看官老爷不要再骂了，小编在这里抱拳了!,https://toutiao.com/group/7405513358462304802/,,0,0
张召忠：美国就算一动不动，中国20年也追不上，中美差距那么大？,2024-09-04 08:50,2709,103,Talk科普,Talk科普,前言:就算美国躺着不动，再给上20年，中国也很难赶超美国。那么，一边是不断崛起的中国，一边是强大的美国，中美之间的差距到底有多大?,https://toutiao.com/group/7410704790658744859/,,0,0
主席形象后继有人，侯京健已接班唐国强，和古月比你更喜欢哪一个,2024-07-27 07:24,42841,4172,半历写书,半历写书,一代伟人就此落幕，48年前，全国人民为此落泪，举国悲痛，起因便是毛主席不幸离世!我们祖国13亿人口，其中就有这三位长相极其毛主席相似，他们也都在影视中留下了传奇。,https://toutiao.com/group/7396145236713538084/,,0,0
猪肉中“最毒”器官，我国虽明令禁止，但还有人不知情在买来吃,2024-08-23 08:06,7046,496,北纬的咖啡豆,北纬的咖啡豆,肘子猪蹄五花肉，配上小酒舒舒服，在外辛苦工作一天的打工人们，晚上下班之后来一碗香喷喷猪脚饭和炖排骨，再配上一点小啤酒吃饱喝足，疲惫的身体瞬间就能得到满足。,https://toutiao.com/group/7406238335636718091/,,0,0
江苏美女道士胡小慧被捕，精通“胡媚术”，九名男徒弟揭露其罪行,2024-08-10 09:01,888,268,此间一叙a,此间一叙a,古有妲己利用“狐媚术”摧毁大商根基，今有胡小慧利用“狐媚术”骗取数百万，更奇葩的是十里八乡的人们对她深信不疑，促使她在当地混的风生水起。令人咂舌的是这个人还是个女道士，直到2019年她被成功逮捕，手下九名男徒这才揭露了真相，原来背后竟是一场精心策划好的骗局。,https://toutiao.com/group/7401412561637245455/,,0,0
